Station_name,Bikes,Arts & Entertainment,"Bars, Restaurants & Cafes","Landmarks, Parks & Sports",Municipal,Retail,Schools,Total POIs
Richards & Davie,14,48.0,139.0,82.0,3.0,95.0,3.0,370.0
Richards & Helmcken,18,48.0,104.0,44.0,1.0,71.0,0.0,268.0
Richards & Robson,22,39.0,85.0,28.0,2.0,96.0,0.0,250.0
Richards & Smithe,18,50.0,90.0,29.0,3.0,77.0,1.0,250.0
Robson & Granville,30,72.0,150.0,81.0,4.0,219.0,10.0,536.0
Robson & Hornby,30,53.0,134.0,87.0,6.0,192.0,13.0,485.0
Rolston & Granville,16,7.0,38.0,32.0,0.0,35.0,0.0,112.0
Science World,16,11.0,27.0,15.0,2.0,16.0,0.0,71.0
Seymour & Cordova,19,58.0,139.0,64.0,3.0,195.0,42.0,501.0
Shaw Tower,18,11.0,64.0,28.0,0.0,20.0,1.0,124.0
Smithe & Burrard,20,14.0,59.0,23.0,2.0,60.0,1.0,159.0
South False Creek Seawall,14,1.0,2.0,10.0,0.0,2.0,1.0,16.0
Spyglass & Seawall,14,1.0,5.0,16.0,0.0,2.0,1.0,25.0
St Catherines & 10th,12,2.0,8.0,1.0,0.0,9.0,1.0,21.0
St Catherines & 7th,20,0.0,11.0,2.0,0.0,9.0,0.0,22.0
St George & Broadway,14,3.0,19.0,3.0,1.0,19.0,0.0,45.0
Stamps Landing,14,0.0,6.0,10.0,1.0,2.0,0.0,19.0
Stanley Park - Information Booth,20,5.0,2.0,7.0,0.0,0.0,0.0,14.0
Stanley Park - Prospect Point,22,0.0,4.0,6.0,0.0,0.0,0.0,10.0
Stanley Park - Second Beach North,16,0.0,1.0,12.0,0.0,0.0,0.0,13.0
Stanley Park - Second Beach South,18,0.0,4.0,15.0,0.0,0.0,0.0,19.0
Stanley Park - Third Beach Parking Lot,38,0.0,3.0,5.0,0.0,0.0,0.0,8.0
Stanley Park - Totem Poles,20,0.0,1.0,10.0,0.0,1.0,0.0,12.0
Stanley Park - Vancouver Aquarium,16,6.0,2.0,7.0,0.0,0.0,0.0,15.0
Station & Terminal,18,3.0,35.0,9.0,2.0,11.0,11.0,71.0
Thornton & National,14,0.0,6.0,3.0,0.0,5.0,3.0,17.0
Thurlow & Pendrell,16,17.0,87.0,19.0,18.0,59.0,3.0,203.0
Trafalgar & Broadway,16,3.0,14.0,6.0,1.0,24.0,1.0,49.0
Trafalgar & Cornwall,20,0.0,0.0,10.0,0.0,2.0,0.0,12.0
Triumph & Victoria,16,6.0,29.0,4.0,0.0,19.0,1.0,59.0
Union & Dunlevy,16,25.0,61.0,12.0,1.0,60.0,2.0,161.0
Vanier Park,28,7.0,0.0,9.0,0.0,0.0,0.0,16.0
Victoria & 10th,12,1.0,9.0,4.0,0.0,10.0,0.0,24.0
Victoria & 4th,16,4.0,48.0,6.0,0.0,27.0,1.0,86.0
Vine & 4th,18,0.0,26.0,6.0,0.0,38.0,0.0,70.0
Wall & Eton,18,3.0,7.0,5.0,0.0,6.0,0.0,21.0
Wallace & 4th,18,0.0,1.0,6.0,0.0,1.0,0.0,8.0
Windsor & 14th,14,1.0,0.0,0.0,0.0,2.0,0.0,3.0
Woodland & 10th,14,5.0,10.0,4.0,1.0,6.0,0.0,26.0
Woodland & 4th,14,1.0,14.0,4.0,1.0,4.0,0.0,24.0
Woodland & Graveley,12,4.0,17.0,6.0,0.0,19.0,0.0,46.0
Wylie & 2nd,18,12.0,16.0,13.0,1.0,17.0,3.0,62.0
Yaletown-Roundhouse Station,16,37.0,129.0,71.0,2.0,88.0,2.0,329.0
Yew & Broadway,18,4.0,32.0,34.0,1.0,22.0,2.0,95.0
York & Yew,20,1.0,18.0,5.0,0.0,5.0,0.0,29.0
Yukon & 6th,18,28.0,74.0,63.0,1.0,74.0,2.0,242.0
šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery,28,21.0,89.0,40.0,1.0,107.0,1.0,259.0
